from,to,ndvi_mean,ndwi_mean,year,month,quarter,week,year_month,month_week
2019-07-15 00:00:00+00:00,2019-07-20 00:00:00+00:00,0.3230295182826328,-0.31686620677698923,2019,7,3,3,2019-07,7-3
2019-07-20 00:00:00+00:00,2019-07-25 00:00:00+00:00,0.1569493228484622,-0.13241712925445417,2019,7,3,3,2019-07,7-3
2019-07-25 00:00:00+00:00,2019-07-30 00:00:00+00:00,0.3258556055875251,-0.33081791037632546,2019,7,3,4,2019-07,7-4
2019-07-30 00:00:00+00:00,2019-08-04 00:00:00+00:00,0.12595991337003576,-0.10696730466384456,2019,7,3,5,2019-07,7-5
2019-08-04 00:00:00+00:00,2019-08-09 00:00:00+00:00,0.15012255891498202,-0.12411881883327339,2019,8,3,1,2019-08,8-1
2019-08-09 00:00:00+00:00,2019-08-14 00:00:00+00:00,0.25239684674982776,-0.2557262778990663,2019,8,3,2,2019-08,8-2
2019-08-14 00:00:00+00:00,2019-08-19 00:00:00+00:00,0.11095908252018888,-0.09977138939987237,2019,8,3,3,2019-08,8-3
2019-08-19 00:00:00+00:00,2019-08-24 00:00:00+00:00,0.15676521793238785,-0.14304069894875932,2019,8,3,4,2019-08,8-4
2019-08-24 00:00:00+00:00,2019-08-29 00:00:00+00:00,0.25150011096201214,-0.2393629496338989,2019,8,3,4,2019-08,8-4
2019-08-29 00:00:00+00:00,2019-09-03 00:00:00+00:00,0.0659172273947964,-0.0365888314874125,2019,8,3,5,2019-08,8-5
2019-09-03 00:00:00+00:00,2019-09-08 00:00:00+00:00,0.026680901173380775,0.007016598815759517,2019,9,3,1,2019-09,9-1
2019-09-08 00:00:00+00:00,2019-09-13 00:00:00+00:00,0.08546136520813433,-0.04823672366429085,2019,9,3,1,2019-09,9-1
2019-09-13 00:00:00+00:00,2019-09-18 00:00:00+00:00,0.30075320103654996,-0.2689190914693993,2019,9,3,2,2019-09,9-2
2019-09-18 00:00:00+00:00,2019-09-23 00:00:00+00:00,-0.0023339555308527883,0.030136548319976288,2019,9,3,3,2019-09,9-3
2019-09-23 00:00:00+00:00,2019-09-28 00:00:00+00:00,0.4086376101728317,-0.35694039418646445,2019,9,3,4,2019-09,9-4
2019-09-28 00:00:00+00:00,2019-10-03 00:00:00+00:00,0.3159376588247213,-0.2542382987285104,2019,9,3,4,2019-09,9-4
2019-10-03 00:00:00+00:00,2019-10-08 00:00:00+00:00,0.035413955564997934,0.004165536498866784,2019,10,4,1,2019-10,10-1
2019-10-08 00:00:00+00:00,2019-10-13 00:00:00+00:00,0.40453691378064294,-0.337386665841313,2019,10,4,2,2019-10,10-2
2019-10-13 00:00:00+00:00,2019-10-18 00:00:00+00:00,0.1801027301282325,-0.1324391664742517,2019,10,4,2,2019-10,10-2
2019-10-18 00:00:00+00:00,2019-10-23 00:00:00+00:00,0.4996434860892389,-0.43288986972852983,2019,10,4,3,2019-10,10-3
2019-10-23 00:00:00+00:00,2019-10-28 00:00:00+00:00,0.5063234386783574,-0.4331163108971004,2019,10,4,4,2019-10,10-4
2019-10-28 00:00:00+00:00,2019-11-02 00:00:00+00:00,0.18257997902526452,-0.13542031366687365,2019,10,4,5,2019-10,10-5
2019-11-02 00:00:00+00:00,2019-11-07 00:00:00+00:00,0.567336033464256,-0.49516295780073594,2019,11,4,1,2019-11,11-1
2019-11-07 00:00:00+00:00,2019-11-12 00:00:00+00:00,0.571539089588525,-0.5169159740489316,2019,11,4,2,2019-11,11-2
2019-11-12 00:00:00+00:00,2019-11-17 00:00:00+00:00,0.5434950024355197,-0.49776656566335564,2019,11,4,3,2019-11,11-3
2019-11-17 00:00:00+00:00,2019-11-22 00:00:00+00:00,0.5253915469939624,-0.5010029548246215,2019,11,4,3,2019-11,11-3
2019-11-22 00:00:00+00:00,2019-11-27 00:00:00+00:00,0.4653333288460595,-0.45155444376872683,2019,11,4,4,2019-11,11-4
2019-11-27 00:00:00+00:00,2019-12-02 00:00:00+00:00,0.3509054096318392,-0.3440090998332478,2019,11,4,5,2019-11,11-5
2019-12-02 00:00:00+00:00,2019-12-07 00:00:00+00:00,0.19134764272836383,-0.18112028831865198,2019,12,4,1,2019-12,12-1
2019-12-07 00:00:00+00:00,2019-12-12 00:00:00+00:00,0.43509521273398516,-0.4747775972507407,2019,12,4,1,2019-12,12-1
2019-12-12 00:00:00+00:00,2019-12-17 00:00:00+00:00,0.4045159366936818,-0.4549887612068714,2019,12,4,2,2019-12,12-2
2019-12-17 00:00:00+00:00,2019-12-22 00:00:00+00:00,0.165393272865521,-0.1623372804784073,2019,12,4,3,2019-12,12-3
2019-12-22 00:00:00+00:00,2019-12-27 00:00:00+00:00,0.35978729379307617,-0.41269350698768376,2019,12,4,3,2019-12,12-3
2019-12-27 00:00:00+00:00,2020-01-01 00:00:00+00:00,0.35603295287543824,-0.4251589851554587,2019,12,4,4,2019-12,12-4
2020-01-01 00:00:00+00:00,2020-01-06 00:00:00+00:00,0.32908497331834574,-0.39259001397062093,2020,1,1,1,2020-01,1-1
2020-01-06 00:00:00+00:00,2020-01-11 00:00:00+00:00,0.30820084452114777,-0.37759099006366903,2020,1,1,2,2020-01,1-2
2020-01-11 00:00:00+00:00,2020-01-16 00:00:00+00:00,0.313360059420241,-0.3813564985693847,2020,1,1,2,2020-01,1-2
2020-01-16 00:00:00+00:00,2020-01-21 00:00:00+00:00,0.2742217907984297,-0.3355618891875725,2020,1,1,3,2020-01,1-3
2020-01-21 00:00:00+00:00,2020-01-26 00:00:00+00:00,0.188069802127814,-0.21697126460160487,2020,1,1,4,2020-01,1-4
2020-01-26 00:00:00+00:00,2020-01-31 00:00:00+00:00,0.2901328222222912,-0.3753533816212595,2020,1,1,4,2020-01,1-4
2020-01-31 00:00:00+00:00,2020-02-05 00:00:00+00:00,0.2561613673299198,-0.3161473691324823,2020,1,1,5,2020-01,1-5
2020-02-05 00:00:00+00:00,2020-02-10 00:00:00+00:00,0.26853784352737253,-0.3583512879169654,2020,2,1,1,2020-02,2-1
2020-02-10 00:00:00+00:00,2020-02-15 00:00:00+00:00,0.17146970601521117,-0.21563324053041844,2020,2,1,2,2020-02,2-2
2020-02-15 00:00:00+00:00,2020-02-20 00:00:00+00:00,0.1553938351282774,-0.19162145203900324,2020,2,1,2,2020-02,2-2
2020-02-20 00:00:00+00:00,2020-02-25 00:00:00+00:00,0.2360093781094052,-0.3283486574717144,2020,2,1,3,2020-02,2-3
2020-02-25 00:00:00+00:00,2020-03-01 00:00:00+00:00,0.2022350106453198,-0.29265540188684774,2020,2,1,4,2020-02,2-4
2020-03-01 00:00:00+00:00,2020-03-06 00:00:00+00:00,0.06842594627866541,-0.07727866350569261,2020,3,1,1,2020-03,3-1
2020-03-06 00:00:00+00:00,2020-03-11 00:00:00+00:00,0.2394263373196287,-0.3571996873991634,2020,3,1,2,2020-03,3-2
2020-03-11 00:00:00+00:00,2020-03-16 00:00:00+00:00,0.2112000907535841,-0.31178880973062495,2020,3,1,3,2020-03,3-3
2020-03-16 00:00:00+00:00,2020-03-21 00:00:00+00:00,0.1392177247094109,-0.18971122510244148,2020,3,1,4,2020-03,3-4
2020-03-21 00:00:00+00:00,2020-03-26 00:00:00+00:00,0.18114567811704918,-0.2531145268316529,2020,3,1,4,2020-03,3-4
2020-03-26 00:00:00+00:00,2020-03-31 00:00:00+00:00,0.21447635889758207,-0.3256106229286324,2020,3,1,5,2020-03,3-5
2020-03-31 00:00:00+00:00,2020-04-05 00:00:00+00:00,0.2139367361909943,-0.3140345136398855,2020,3,1,6,2020-03,3-6
